video_file,duration_sec,frames_total,frames_processed,valid_face_frames,coverage_ratio,total_blinks,blinks_per_second,avg_left_eye_width_mm,avg_left_eye_width_cm,avg_left_eye_height_mm,avg_left_eye_height_cm,avg_right_eye_width_mm,avg_right_eye_width_cm,avg_right_eye_height_mm,avg_right_eye_height_cm,avg_face_width_mm,avg_face_width_cm,avg_face_height_mm,avg_face_height_cm,avg_nose_width_mm,avg_nose_width_cm,avg_nose_height_mm,avg_nose_height_cm,avg_mouth_width_mm,avg_mouth_width_cm,avg_mouth_height_mm,avg_mouth_height_cm
GX010399.MP4,2.2355666666666667,67,67,67,1.0,2,0.894627760299402,28.27865968331597,2.8278659683315968,7.715668937418734,0.7715668937418734,29.845876982605173,2.9845876982605173,8.111608546613912,0.8111608546613912,149.48692121692042,14.948692121692043,168.29620458248286,16.829620458248286,45.43061696642495,4.543061696642495,49.93795493302043,4.993795493302043,52.54540620588889,5.254540620588889,2.2775490538353065,0.22775490538353066
GX010400.MP4,142.0419,4257,4257,4192,0.9847310312426591,85,0.5984149747363278,29.707836331973446,2.9707836331973447,7.378578275674465,0.7378578275674464,28.706159583170034,2.8706159583170034,7.784723860020361,0.7784723860020362,149.3905514804049,14.93905514804049,164.23655426798214,16.423655426798213,45.58948496865272,4.558948496865272,51.96096116525695,5.196096116525695,49.972515789582104,4.997251578958211,1.2752661148166375,0.12752661148166375
GX010401.MP4,133.8337,4011,4011,3954,0.9857890800299177,72,0.5379810914590272,28.792389392630696,2.8792389392630695,7.445482468261524,0.7445482468261524,29.091471891164513,2.9091471891164513,7.71725634361421,0.7717256343614209,147.80786248066923,14.780786248066923,165.46614846993157,16.546614846993158,45.29612740869539,4.529612740869539,51.30303644231237,5.130303644231237,49.230752851454966,4.923075285145496,1.315722389151284,0.1315722389151284
GX010402.MP4,132.36556666666667,3967,3967,3854,0.9715149987396017,82,0.6194964601821169,29.673524464045094,2.9673524464045093,7.138410393730108,0.7138410393730108,29.385237232282204,2.9385237232282204,7.168095995584487,0.7168095995584487,152.17883257096847,15.217883257096847,171.72170209181766,17.172170209181765,45.991474590719505,4.5991474590719505,52.53495132360208,5.253495132360208,50.41668545593915,5.041668545593915,1.4275575639090943,0.14275575639090943
GX010403.MP4,189.5894,5682,5682,5077,0.893523407250968,147,0.7753598038708914,31.22269251939985,3.122269251939985,6.580622190615792,0.6580622190615791,27.89824143680688,2.789824143680688,6.344293562552603,0.6344293562552603,150.54332969881796,15.054332969881795,171.00835735287768,17.100835735287767,44.84846806689552,4.484846806689552,53.91426895057222,5.391426895057222,48.79165615417824,4.879165615417824,1.473207392917167,0.14732073929171668
GX010404.MP4,227.56066666666666,6820,6820,6448,0.9454545454545454,282,1.2392299782329108,31.836180515560528,3.183618051556053,6.444388126613756,0.6444388126613756,26.875510985215463,2.6875510985215465,6.684519167387137,0.6684519167387137,150.1297302352182,15.01297302352182,169.12804067269127,16.91280406726913,45.1814553006573,4.51814553006573,55.16666826544134,5.516666826544133,48.427835018861316,4.842783501886132,1.2527054915720608,0.1252705491572061
GX010405.MP4,235.76886666666667,7066,7066,6719,0.9508915935465609,293,1.2427425390912512,32.10975742628608,3.210975742628608,6.101920463981944,0.6101920463981945,24.99589459957934,2.4995894599579342,6.526650978223392,0.6526650978223392,151.62703260063688,15.162703260063688,175.91988488298776,17.591988488298774,45.98706673860273,4.598706673860272,55.94689931412804,5.594689931412804,47.9979481679316,4.79979481679316,1.3241621293451613,0.13241621293451614
GX010406.MP4,137.30383333333333,4115,4115,4030,0.9793438639125152,139,1.0123533817336976,31.460444775339443,3.1460444775339442,5.417210425865763,0.5417210425865763,29.433888802093584,2.9433888802093584,5.442285707303925,0.5442285707303924,155.41321103003736,15.541321103003735,176.887926632017,17.688792663201703,46.814371164574474,4.681437116457447,54.906713961047686,5.490671396104768,50.58181352011464,5.058181352011465,1.5946756087409444,0.15946756087409444
GX010407.MP4,119.88643333333333,3593,3593,3551,0.9883106039521291,109,0.9091937842285741,30.685083432725282,3.068508343272528,6.031738889070009,0.603173888907001,28.575686077759755,2.8575686077759754,6.436515882420455,0.6436515882420455,151.40512315885803,15.140512315885804,169.45172165092185,16.945172165092185,45.68498669726594,4.568498669726594,54.05198678741508,5.405198678741508,49.31429363592636,4.9314293635926365,1.1938039300562917,0.11938039300562917
GX010408.MP4,141.5414,4242,4242,4098,0.9660537482319661,151,1.0668256778582097,30.231384083834108,3.023138408383411,6.590547495896893,0.6590547495896893,29.829044909554828,2.982904490955483,6.906505353279861,0.690650535327986,150.7502791435669,15.07502791435669,164.09956146032,16.409956146032,45.122940540066715,4.512294054006672,51.31988022250452,5.131988022250452,48.72036327165838,4.872036327165838,1.6318565454268021,0.16318565454268022
