timestamp,mode,duration_sec,blink_count,blinks_per_second
2026-02-23 13:41:43,movie,5.0,0,0.000
2026-02-23 13:45:49,movie,60.0,32,0.533
2026-02-23 13:47:18,reading,60.0,28,0.467
