video_file,second,frames_processed,valid_face_frames,coverage_ratio,avg_blink_score,blinks_this_second,avg_mm_per_px,avg_left_eye_width_mm,avg_left_eye_height_mm,avg_right_eye_width_mm,avg_right_eye_height_mm,avg_face_width_mm,avg_face_height_mm,avg_nose_width_mm,avg_nose_height_mm,avg_mouth_width_mm,avg_mouth_height_mm
GX010405.MP4,0,30,30,1.0,0.21119731217622756,0,0.2826978269408706,30.079728428255123,6.952876748244374,30.602288246278484,7.411852518124141,156.03246183611975,177.6647831722339,47.14986980449172,55.72479041963557,52.44656737816986,1.6087291914530721
GX010405.MP4,1,30,30,1.0,0.2081890668720007,1,0.2681284416783086,29.703455656085474,7.3687458846711955,30.276915371769125,7.264786704053849,154.97168729850654,172.03568924187343,47.011418587528944,55.20362327730638,52.07935871731794,1.189479379960089
GX010405.MP4,2,30,30,1.0,0.4593177522222201,1,0.26438907387749594,31.572211688387483,3.8463975476093792,31.676356109740627,3.238257989312884,156.01790325599617,169.21097559840433,46.38245203867877,54.431097662971716,51.66712618714468,1.204319806038124
GX010405.MP4,3,30,30,1.0,0.2341110902527968,1,0.2681081984746318,31.186127982613655,6.6793112528945775,30.984868689746293,6.106667428372919,157.81054887226736,170.17677777288705,47.287256193340674,55.35855453261013,52.702437155642045,1.4470971292376806
GX010405.MP4,4,30,30,1.0,0.41128925010561945,2,0.26697899538560216,31.615471073920677,4.451121370965682,30.97828701800912,4.115000845252501,154.63611452020268,172.0172133027392,46.73933112512266,54.35693131976753,51.91388454509178,1.7657728665514212
GX010405.MP4,5,30,30,1.0,0.2830587753405174,1,0.2690107259530576,30.7662510426848,5.835140402745407,29.752065258865755,6.174726138725201,154.92814191151896,174.14935178896263,47.25203136824647,54.56241860151381,51.696045972008186,1.1589176720786936
GX010405.MP4,6,30,30,1.0,0.319522462785244,1,0.27187326955493324,31.311105161942507,5.250853681849919,30.281585744628284,5.221626300728134,157.35068632674364,175.71428297963348,47.28824717253783,54.64283463679267,52.06895447295315,1.6618681196717882
GX010405.MP4,7,30,30,1.0,0.39116173883279165,1,0.26980494761123264,31.376078404805835,4.928628245589807,30.59778858216125,4.3930637066937255,155.8774503033712,175.10019535538765,47.236913591266024,54.648486855427805,51.915860055322916,1.5984597237763174
GX010405.MP4,8,30,30,1.0,0.1525503896176815,0,0.2693492408213142,30.054709655538463,7.883145569549316,30.125234449759944,8.380494693579266,155.44521314559628,173.4621416013812,48.53697623886548,56.01224890550354,52.50830779690909,1.1042468548824178
GX010405.MP4,9,30,30,1.0,0.30127263590693476,1,0.26434428871266236,30.652785195447976,6.085536429502631,30.84613017151588,6.165075506896562,154.06196253935622,168.911173774387,47.52743772388526,55.06996718494237,52.084270768401076,0.8710431518766022
GX010405.MP4,10,30,30,1.0,0.27297478492061295,1,0.2600649199590891,29.901680771225646,6.383730313955867,29.994051678217907,6.385258525486947,151.33125547978113,166.935301820411,46.879801108195274,54.161437498114765,50.94987821691803,1.3160877161717104
GX010405.MP4,11,30,30,1.0,0.22671346875528495,1,0.2620141547851411,29.61093209180829,7.225271699511739,29.80867553752586,7.2037787295200255,151.85736517467413,169.90400785796058,46.889898517016846,54.57387691509527,50.962869960048934,1.0665452671824216
GX010405.MP4,12,30,30,1.0,0.1942522621403138,1,0.2617626535066752,29.572845435277184,7.418584813516396,29.58372257017664,7.598072059621265,151.60511193426436,169.25050686953608,46.8859929475524,54.48983221648196,50.67031908627137,1.2652481532706836
GX010405.MP4,13,30,27,0.9,0.3646367330242086,1,0.2621009317124289,31.853458757321576,5.409973780028851,22.885118439776413,5.245686831171729,142.07243247584177,169.1964692158707,42.510752228536525,54.25496338430956,45.35010581165082,0.7485143679460281
GX010405.MP4,14,30,29,0.9666666666666667,0.352391152289407,0,0.2809895014599882,32.21077370810073,5.419846516975503,15.551636333018514,6.021246506909072,132.6604346645689,166.05927905692752,38.9800903973984,54.67371188157479,36.14949990299782,0.8405726530467853
GX010405.MP4,15,30,30,1.0,0.368964072316885,2,0.28961424089308585,33.8221279073467,6.031836754872642,32.85535380472031,5.668787771800706,168.70448483664842,186.9388493187417,51.160148520688935,61.40397204305358,55.387301595006264,1.1769060130378728
GX010405.MP4,16,30,30,1.0,0.19486101431151232,0,0.2665510895620134,30.733277756777834,7.838747298377849,31.272095096851015,8.27682242753061,158.4280957420386,177.204319576564,49.13399059803762,57.38893738866694,52.38587519100788,1.7781483747657818
GX010405.MP4,17,30,30,1.0,0.24265431029101212,2,0.2544553745225491,30.05089626619011,6.698325304597294,29.91353583349901,6.715994145442317,150.40965026735404,168.8671031744573,46.94605157584575,54.44920058619427,50.15562162099585,1.350538899466811
GX010405.MP4,18,30,30,1.0,0.19003615118563175,0,0.25201410823937953,29.62195143306266,7.317477747931503,29.597183493727506,7.546939978527291,149.78155429764774,167.49008787214012,46.37031478083803,54.04368257519708,50.045145757708944,1.5564107769125821
GX010405.MP4,19,30,30,1.0,0.29055907179911933,2,0.2534022501637572,29.793849821740398,5.9843731501772135,29.724429097767814,5.553154536304204,150.5222347697733,167.32515156079026,46.59341089230189,53.582069370153036,49.793545112055334,1.9752875103259269
GX010405.MP4,20,30,30,1.0,0.32208399660885334,1,0.25907063009562287,30.691674495621957,5.734845362619244,30.82734763953245,5.287392067275534,153.4937828583806,169.660040405601,47.30568289624025,54.2873676831165,51.00136067708233,1.8132869767014175
GX010405.MP4,21,30,30,1.0,0.23489905819296836,1,0.25936976634633757,30.36547003929461,6.72026749392493,30.25484805235995,6.823150980977076,153.77226456943552,170.77601918723744,47.42908758196776,54.74157504662035,50.75022354373855,1.6973317847838063
GX010405.MP4,22,30,30,1.0,0.3329980255415042,1,0.25933643336693446,30.257470295619942,5.594942783353486,30.24553564956069,5.589183427629207,153.02100287358397,171.24716459700787,46.78642068877437,54.416859628686346,50.94389499083592,1.4822337340591232
GX010405.MP4,23,30,30,1.0,0.1658977311104536,0,0.2593768614274844,30.157768824063773,7.59399247743539,29.74291013361907,8.175618571549483,153.0588977903816,172.04395922190588,47.68115969489269,54.879024606804066,50.817380730460016,1.575682706171689
GX010405.MP4,24,30,23,0.7666666666666667,0.36844226264435315,1,0.2595753836223869,33.33167585281223,5.2127384883716,22.10050760490442,6.061135340124694,144.43931983225707,170.68745977029883,43.03040057874197,55.94777018476631,44.02070186875909,0.7980720785931481
GX010405.MP4,25,30,17,0.5666666666666667,0.3540294332539334,1,0.2544558117108562,32.7854814250357,5.435512786842944,17.70080816952468,6.639994666764424,133.83978353933452,159.88399341743187,38.73110640798497,52.134628755251406,38.37790763542256,0.6868719991025515
GX010405.MP4,26,30,30,1.0,0.44491041799386344,4,0.26334916677920456,31.085346583817145,4.116870772547761,16.086604854739605,5.566931274661219,129.63278107753004,159.13183657506505,37.80440658101919,50.70351450905039,38.026670211395626,0.6781997263276641
GX010405.MP4,27,30,30,1.0,0.42141594787438713,5,0.28745074468042575,31.94827493768192,4.729155731957083,15.475053614396144,5.737861351744517,136.874510977591,164.8292793962968,40.74758439798714,51.750302672516334,38.830066085265436,0.6619764366021295
